Compound,Ionization_Mode,Score,Mass,Retention_Time,Frequency,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,48_T1,48_T2,48_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,Mean_MB,Median_MB,STD_MB,CV_MB,N_Abun_MB,Mean_53_T,Median_53_T,STD_53_T,CV_53_T,N_Abun_53_T,Mean_54_T,Median_54_T,STD_54_T,CV_54_T,N_Abun_54_T,Mean_55_T,Median_55_T,STD_55_T,CV_55_T,N_Abun_55_T,Mean_56_T,Median_56_T,STD_56_T,CV_56_T,N_Abun_56_T,Mean_57_T,Median_57_T,STD_57_T,CV_57_T,N_Abun_57_T,Mean_58_T,Median_58_T,STD_58_T,CV_58_T,N_Abun_58_T,Mean_59_T,Median_59_T,STD_59_T,CV_59_T,N_Abun_59_T,Mean_60_T,Median_60_T,STD_60_T,CV_60_T,N_Abun_60_T,Mean_45_T,Median_45_T,STD_45_T,CV_45_T,N_Abun_45_T,Mean_46_T,Median_46_T,STD_46_T,CV_46_T,N_Abun_46_T,Mean_47_T,Median_47_T,STD_47_T,CV_47_T,N_Abun_47_T,Mean_48_T,Median_48_T,STD_48_T,CV_48_T,N_Abun_48_T,Mean_49_T,Median_49_T,STD_49_T,CV_49_T,N_Abun_49_T,Mean_50_T,Median_50_T,STD_50_T,CV_50_T,N_Abun_50_T,Mean_51_T,Median_51_T,STD_51_T,CV_51_T,N_Abun_51_T,Mean_52_T,Median_52_T,STD_52_T,CV_52_T,N_Abun_52_T,is_Formate_Adduct,has_Formate_Adduct,unique_Formate_Number,is_H2O_Adduct,has_H2O_Adduct,unique_H2O_Number,is_Ammonium_Adduct,has_Ammonium_Adduct,unique_Ammonium_Number,is_CO2_Adduct,has_CO2_Adduct,unique_CO2_Number,is_Na_Adduct,has_Na_Adduct,unique_Na_Number,Rounded_Mass,Median_ALLSamples,SampletoBlanks_ratio,Median_ALLMB,BlankSub_Median_53_T,BlankSub_Median_54_T,BlankSub_Median_55_T,BlankSub_Median_56_T,BlankSub_Median_57_T,BlankSub_Median_58_T,BlankSub_Median_59_T,BlankSub_Median_60_T,BlankSub_Median_45_T,BlankSub_Median_46_T,BlankSub_Median_47_T,BlankSub_Median_48_T,BlankSub_Median_49_T,BlankSub_Median_50_T,BlankSub_Median_51_T,BlankSub_Median_52_T,BlankSub_Median_ALLSamples
988.9476@1.1979991,,,988.9476,1.1979991,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,20580.0,20584.0,24507.0,,20861.0,22054.0,17427.0,,12422.0,28494.0,21939.0,26524.0,15887.0,14841.0,,17278.0,18798.0,20329.0,,15954.0,,,15229.0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,21890.0,20584.0,2266.0,0.1,3,21458.0,21458.0,844.0,0.04,2,14924.0,14924.0,3539.0,0.24,2,25652.0,26524.0,3363.0,0.13,3,15364.0,15364.0,740.0,0.05,2,18802.0,18798.0,1526.0,0.08,3,15954.0,15954.0,,,1,15229.0,15229.0,,,1,,,,,,,,,,,,,,,,989.0,17376.0,,0.0,,,,,,,,,20584.0,21458.0,14924.0,26524.0,15364.0,18798.0,15954.0,15229.0,17376.0
989.8062@14.232991,,,989.8062,14.232991,51,,,,48128.0,,,,,,,,,,,,,,,,,,,,,,,,29978.0,35296.0,83252.0,,40660.0,25869.0,42261.0,20089.0,24944.0,38029.0,,38449.0,,,,27811.0,23316.0,25352.0,,,,,,19925.0,,,,,0,48128.0,48128.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,49509.0,35296.0,29343.0,0.59,3,33264.0,33264.0,10459.0,0.31,2,29098.0,24944.0,11655.0,0.4,3,38239.0,38239.0,297.0,0.01,2,,,,,0,25493.0,25352.0,2251.0,0.09,3,,,,,0,19925.0,19925.0,,,1,,,,,,,,,,,,,,,,990.0,33264.0,,0.0,48128.0,,,,,,,,35296.0,33264.0,24944.0,38239.0,,25352.0,,19925.0,33264.0
990.7446@14.221991,,,990.7446,14.221991000000001,51,,,,623490.0,,,97290.0,,,,,88657.0,,,,,,,,,594339.0,,,,,,,139793.0,71462.0,55705.0,,50269.0,,,,,54542.0,,49759.0,,,49160.0,74645.0,88896.0,54699.0,,,,396821.0,,298479.0,,,,,0,623490.0,623490.0,,,1,97290.0,97290.0,,,1,88657.0,88657.0,,,1,,,,,0,,,,,0,594339.0,594339.0,,,1,,,,,0,,,,,0,88987.0,71462.0,44699.0,0.5,3,50269.0,50269.0,,,1,,,,,0,52150.0,52150.0,3382.0,0.06,2,49160.0,49160.0,,,1,72747.0,74645.0,17177.0,0.24,3,,,,,0,347650.0,347650.0,69538.0,0.2,2,,,,,,,,,,,,,,,,991.0,81651.0,,0.0,623490.0,97290.0,88657.0,,,594339.0,,,71462.0,50269.0,,52150.0,49160.0,74645.0,,347650.0,81651.0
992.7583@14.2109995,,,992.7583,14.2109995,49,,,,203744.0,,,,,,,,,,,,,,,,,215148.0,,,65839.0,,,,,33250.0,48050.0,,31916.0,,,,,28491.0,,25761.0,,,,,45798.0,27593.0,,,,141050.0,,178595.0,,,,,0,203744.0,203744.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,215148.0,215148.0,,,1,65839.0,65839.0,,,1,,,,,0,40650.0,40650.0,10465.0,0.26,2,31916.0,31916.0,,,1,,,,,0,27126.0,27126.0,1930.0,0.07,2,,,,,0,36696.0,36696.0,12873.0,0.35,2,,,,,0,159822.0,159822.0,26548.0,0.17,2,,,,,,,,,,,,,,,,993.0,53244.0,,0.0,203744.0,,,,,215148.0,65839.0,,40650.0,31916.0,,27126.0,,36696.0,,159822.0,53244.0
994.7765@14.2269945,,,994.7765,14.2269945,50,,,,252254.0,,,,,,,,,,,,,,,,,292439.0,,,,,,,63132.0,88946.0,,,29434.0,,,,,34128.0,,29056.0,,,,,68001.0,32139.0,,,,337804.0,,87061.0,,,,,0,252254.0,252254.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,292439.0,292439.0,,,1,,,,,0,,,,,0,76039.0,76039.0,18253.0,0.24,2,29434.0,29434.0,,,1,,,,,0,31592.0,31592.0,3586.0,0.11,2,,,,,0,50070.0,50070.0,25358.0,0.51,2,,,,,0,212432.0,212432.0,177302.0,0.83,2,,,,,,,,,,,,,,,,995.0,76039.0,,0.0,252254.0,,,,,292439.0,,,76039.0,29434.0,,31592.0,,50070.0,,212432.0,76039.0
996.4862@10.427001,,,996.4862,10.427000999999999,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26470.0,,,,,,,,,14934.0,32063.0,12421.0,15525.0,12824.0,23673.0,20384.0,48713.0,24726.0,22534.0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,26470.0,26470.0,,,1,,,,,0,,,,,0,23498.0,23498.0,12112.0,0.52,2,13590.0,12824.0,1688.0,0.12,3,30923.0,23673.0,15494.0,0.5,3,23630.0,23630.0,1550.0,0.07,2,,,,,,,,,,,,,,,,996.0,23630.0,,0.0,,,,,,,,,,26470.0,,,23498.0,12824.0,23673.0,23630.0,23630.0
996.7561@14.2529955,,,996.7561,14.252995499999999,50,,,,131156.0,,,,,,,,,,,,,,,,,129798.0,,,,,,,,53115.0,40888.0,,,,,,,55911.0,,49112.0,,,,,37635.0,27467.0,,,,154808.0,,100247.0,,,,,0,131156.0,131156.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,129798.0,129798.0,,,1,,,,,0,,,,,0,47002.0,47002.0,8646.0,0.18,2,,,,,0,,,,,0,52512.0,52512.0,4808.0,0.09,2,,,,,0,32551.0,32551.0,7190.0,0.22,2,,,,,0,127528.0,127528.0,38580.0,0.3,2,,,,,,,,,,,,,,,,997.0,90020.0,,0.0,131156.0,,,,,129798.0,,,47002.0,,,52512.0,,32551.0,,127528.0,90020.0
C45H82N12O13,,22.1,998.6219,10.666008,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,52436.0,86674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,69555.0,69555.0,24210.0,0.35,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,999.0,69555.0,,0.0,,,,,,,,,69555.0,,,,,,,,69555.0
998.7581@14.236003,,,998.7581,14.236003,51,,,,222596.0,,,,,,,,,,,,,,,,,95479.0,,,,,,,54575.0,44978.0,55559.0,,,,,,,59417.0,,55441.0,,,,,41694.0,30042.0,,,,99151.0,,86649.0,,,,,0,222596.0,222596.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,95479.0,95479.0,,,1,,,,,0,,,,,0,51704.0,54575.0,5846.0,0.11,3,,,,,0,,,,,0,57429.0,57429.0,2811.0,0.05,2,,,,,0,35868.0,35868.0,8239.0,0.23,2,,,,,0,92900.0,92900.0,8840.0,0.1,2,,,,,,,,,,,,,,,,999.0,75164.0,,0.0,222596.0,,,,,95479.0,,,54575.0,,,57429.0,,35868.0,,92900.0,75164.0
1002.4875@8.764005,,,1002.4875,8.764005000000001,51,,,,42644.0,40326.0,48502.0,52041.0,25771.0,51581.0,41180.0,33275.0,37252.0,31950.0,27902.0,23691.0,24851.0,45863.0,31121.0,34022.0,16746.0,40182.0,30963.0,37133.0,35885.0,31326.0,34291.0,30436.0,33056.0,44805.0,12672.0,,67300.0,,,14000.0,40564.0,,13149.0,,31103.0,38677.0,46745.0,33839.0,32541.0,32723.0,45085.0,40147.0,50393.0,38748.0,39208.0,33081.0,,,,,0,43824.0,42644.0,4214.0,0.1,3,43131.0,51581.0,15036.0,0.35,3,37236.0,37252.0,3953.0,0.11,3,27848.0,27902.0,4130.0,0.15,3,33945.0,31121.0,10787.0,0.32,3,30317.0,34022.0,12149.0,0.4,3,34660.0,35885.0,3262.0,0.09,3,32018.0,31326.0,2018.0,0.06,3,30178.0,33056.0,16259.0,0.54,3,67300.0,67300.0,,,1,27282.0,27282.0,18784.0,0.69,2,13149.0,13149.0,,,1,38842.0,38677.0,7822.0,0.2,3,33034.0,32723.0,703.0,0.02,3,45208.0,45085.0,5124.0,0.11,3,37012.0,38748.0,3412.0,0.09,3,,,,,,,,,,,,,,,,1002.0,34954.0,,0.0,42644.0,51581.0,37252.0,27902.0,31121.0,34022.0,35885.0,31326.0,33056.0,67300.0,27282.0,13149.0,38677.0,32723.0,45085.0,38748.0,34954.0
1003.7948@1.1339997,,,1003.7948,1.1339997,51,,,,14114.0,23422.0,,,,,,,26478.0,,,11567.0,20487.0,,,,,,,,19817.0,13229.0,,,38763.0,32454.0,32722.0,,32968.0,31605.0,42119.0,38039.0,41438.0,48802.0,41373.0,40954.0,36878.0,36512.0,34882.0,45395.0,43873.0,45967.0,25225.0,20819.0,22350.0,20997.0,18049.0,34121.0,,,,,0,18768.0,18768.0,6582.0,0.35,2,,,,,0,26478.0,26478.0,,,1,11567.0,11567.0,,,1,20487.0,20487.0,,,1,,,,,0,19817.0,19817.0,,,1,13229.0,13229.0,,,1,34646.0,32722.0,3568.0,0.1,3,32286.0,32286.0,964.0,0.03,2,40532.0,41438.0,2186.0,0.05,3,43710.0,41373.0,4415.0,0.1,3,36091.0,36512.0,1063.0,0.03,3,45078.0,45395.0,1082.0,0.02,3,22798.0,22350.0,2237.0,0.1,3,24389.0,20997.0,8556.0,0.35,3,,,,,,,,,,,,,,,,1004.0,24414.0,,0.0,18768.0,,26478.0,11567.0,20487.0,,19817.0,13229.0,32722.0,32286.0,41438.0,41373.0,36512.0,45395.0,22350.0,20997.0,24414.0
1004.7353@14.211996,,,1004.7353,14.211996,50,,,,220863.0,,,,,,,,,,,,,,,,,69440.0,,,,,,,63265.0,,,,,,,,,,,,,,,,25780.0,,,,,241764.0,,142021.0,,,,,0,220863.0,220863.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,69440.0,69440.0,,,1,,,,,0,,,,,0,63265.0,63265.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,25780.0,25780.0,,,1,,,,,0,191892.0,191892.0,70529.0,0.37,2,,,,,,,,,,,,,,,,1005.0,69440.0,,0.0,220863.0,,,,,69440.0,,,63265.0,,,,,25780.0,,191892.0,69440.0
1006.752@14.236003,,,1006.752,14.236003,51,,,,302356.0,,,,,,,,,,,,,,,,,250644.0,,,,,,,54835.0,58916.0,53322.0,,23627.0,,15089.0,,,13880.0,,,,,,,30821.0,,,,,190658.0,,93543.0,,,,,0,302356.0,302356.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,250644.0,250644.0,,,1,,,,,0,,,,,0,55691.0,54835.0,2894.0,0.05,3,23627.0,23627.0,,,1,15089.0,15089.0,,,1,13880.0,13880.0,,,1,,,,,0,30821.0,30821.0,,,1,,,,,0,142100.0,142100.0,68671.0,0.48,2,,,,,,,,,,,,,,,,1007.0,42828.0,,0.0,302356.0,,,,,250644.0,,,54835.0,23627.0,15089.0,13880.0,,30821.0,,142100.0,42828.0
1006.7705@14.239995,,,1006.7705,14.239995,51,,,,84522.0,,,,,,,,,,,,,,,,,316572.0,,,,,,,71782.0,87448.0,105268.0,,36979.0,40517.0,54511.0,,,97385.0,,97492.0,,,,42657.0,59774.0,26766.0,,,,147869.0,,141316.0,,,,,0,84522.0,84522.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,316572.0,316572.0,,,1,,,,,0,,,,,0,88166.0,87448.0,16755.0,0.19,3,38748.0,38748.0,2502.0,0.06,2,54511.0,54511.0,,,1,97438.0,97438.0,76.0,0.0,2,,,,,0,43066.0,42657.0,16508.0,0.38,3,,,,,0,144592.0,144592.0,4634.0,0.03,2,,,,,,,,,,,,,,,,1007.0,85985.0,,0.0,84522.0,,,,,316572.0,,,87448.0,38748.0,54511.0,97438.0,,42657.0,,144592.0,85985.0
1014.7425@14.219994,,,1014.7425,14.219994,48,,,,257615.0,,,,,,,,,,,,,,,,,82041.0,,,,,,,,,,,,,,,,,,,,,,,30918.0,26269.0,,,,199509.0,,118276.0,,,,,0,257615.0,257615.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,82041.0,82041.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,28594.0,28594.0,3287.0,0.11,2,,,,,0,158892.0,158892.0,57440.0,0.36,2,,,,,,,,,,,,,,,,1015.0,120466.0,,0.0,257615.0,,,,,82041.0,,,,,,,,28594.0,,158892.0,120466.0
1015.7474@13.768999,,,1015.7474,13.768998999999999,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,28616.0,67035.0,161836.0,,,23247.0,33540.0,,,32580.0,23054.0,32218.0,,,,17758.0,,,,,,185141.0,,21482.0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,85829.0,67035.0,68570.0,0.8,3,23247.0,23247.0,,,1,33540.0,33540.0,,,1,29284.0,32218.0,5398.0,0.18,3,,,,,0,17758.0,17758.0,,,1,,,,,0,103312.0,103312.0,115724.0,1.12,2,,,,,,,,,,,,,,,,1016.0,32879.0,,0.0,,,,,,,,,67035.0,23247.0,33540.0,32218.0,,17758.0,,103312.0,32879.0
1016.754@14.226007,,,1016.7539999999999,14.226007000000001,46,,,,355258.0,,,,,,,,,,,,,,,,,339359.0,,,,,,,49797.0,52870.0,,,28033.0,,,,,,,48923.0,,,,21745.0,54875.0,34276.0,,,,268606.0,,119602.0,,,,,0,355258.0,355258.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,339359.0,339359.0,,,1,,,,,0,,,,,0,51334.0,51334.0,2173.0,0.04,2,28033.0,28033.0,,,1,,,,,0,48923.0,48923.0,,,1,,,,,0,36965.0,34276.0,16728.0,0.45,3,,,,,0,194104.0,194104.0,105362.0,0.54,2,,,,,,,,,,,,,,,,1017.0,51334.0,,0.0,355258.0,,,,,339359.0,,,51334.0,28033.0,,48923.0,,34276.0,,194104.0,51334.0
1017.7612@13.991005,,,1017.7612,13.991005,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,84051.0,185443.0,361220.0,,24648.0,53812.0,78760.0,,,71949.0,53235.0,69748.0,,,,38786.0,36788.0,19528.0,,,,,,48378.0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,210238.0,185443.0,140238.0,0.67,3,39230.0,39230.0,20622.0,0.53,2,78760.0,78760.0,,,1,64977.0,69748.0,10229.0,0.16,3,,,,,0,31701.0,36788.0,10589.0,0.33,3,,,,,0,48378.0,48378.0,,,1,,,,,,,,,,,,,,,,1018.0,59063.0,,0.0,,,,,,,,,185443.0,39230.0,78760.0,69748.0,,36788.0,,48378.0,59063.0
1018.7577@14.309004,,,1018.7577,14.309004000000002,51,,,,165120.0,,,,,,,,,,,,,,,,,185829.0,,,,,,,69581.0,116748.0,281865.0,,,34607.0,56233.0,,,50748.0,23339.0,48909.0,,,,,74107.0,,,,,146489.0,,67420.0,,,,,0,165120.0,165120.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,185829.0,185829.0,,,1,,,,,0,,,,,0,156065.0,116748.0,111470.0,0.71,3,34607.0,34607.0,,,1,56233.0,56233.0,,,1,40999.0,48909.0,15321.0,0.37,3,,,,,0,74107.0,74107.0,,,1,,,,,0,106954.0,106954.0,55910.0,0.52,2,,,,,,,,,,,,,,,,1019.0,90530.0,,0.0,165120.0,,,,,185829.0,,,116748.0,34607.0,56233.0,48909.0,,74107.0,,106954.0,90530.0
C81H35N,,24.26,1021.279,1.2080001,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9909.0,15312.0,,,31411.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,12610.0,12610.0,3820.0,0.3,2,31411.0,31411.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,1021.0,22010.0,,0.0,,,,,,,,,12610.0,31411.0,,,,,,,22010.0
C69H98O6,,22.09,1022.7516,14.20899,51,,,,139510.0,,,,,,,,,,,,,,,,,117116.0,,,,,,,,39973.0,,,,,,,,,,,,,,,34001.0,,,,,345269.0,,105142.0,,,,,0,139510.0,139510.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,117116.0,117116.0,,,1,,,,,0,,,,,0,39973.0,39973.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,34001.0,34001.0,,,1,,,,,0,225206.0,225206.0,169795.0,0.75,2,,,,,,,,,,,,,,,,1023.0,117116.0,,0.0,139510.0,,,,,117116.0,,,39973.0,,,,,34001.0,,225206.0,117116.0
1026.5739@11.706995,,,1026.5739,11.706995,51,,,,18546.0,15889.0,,,,,,,,,,,,,,,,13257.0,,14235.0,,,,,,,,,,19155.0,,,,33287.0,,44398.0,,,,,,,,,,,,,,,,,0,17218.0,17218.0,1879.0,0.11,2,,,,,0,,,,,0,,,,,0,,,,,0,13257.0,13257.0,,,1,14235.0,14235.0,,,1,,,,,0,,,,,0,19155.0,19155.0,,,1,,,,,0,38842.0,38842.0,7857.0,0.2,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,1027.0,17218.0,,0.0,17218.0,,,,,13257.0,14235.0,,,19155.0,,38842.0,,,,,17218.0
1036.135@1.1979991,,,1036.135,1.1979991,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,33246.0,53860.0,82629.0,,54286.0,123518.0,19588.0,,,54788.0,44374.0,52714.0,14795.0,12725.0,,12599.0,15513.0,15586.0,,10110.0,,,16583.0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,56578.0,53860.0,24803.0,0.44,3,88902.0,88902.0,48954.0,0.55,2,19588.0,19588.0,,,1,50625.0,52714.0,5512.0,0.11,3,13760.0,13760.0,1464.0,0.11,2,14566.0,15513.0,1704.0,0.12,3,10110.0,10110.0,,,1,16583.0,16583.0,,,1,,,,,,,,,,,,,,,,1036.0,18086.0,,0.0,,,,,,,,,53860.0,88902.0,19588.0,52714.0,13760.0,15513.0,10110.0,16583.0,18086.0
1038.4576@10.411995,,,1038.4576,10.411995,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20777.0,,,,,,,,16571.0,26422.0,54428.0,,,,46877.0,21116.0,84409.0,35087.0,32543.0,14265.0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,20777.0,20777.0,,,1,,,,,0,,,,,0,32474.0,26422.0,19641.0,0.6,3,,,,,0,50801.0,46877.0,31828.0,0.63,3,27298.0,32543.0,11359.0,0.42,3,,,,,,,,,,,,,,,,1038.0,29482.0,,0.0,,,,,,,,,,20777.0,,,26422.0,,46877.0,32543.0,29482.0
1038.8387@14.218,,,1038.8387,14.218,50,,,,74421.0,,191841.0,,,,,215313.0,26832.0,184319.0,175268.0,147833.0,30276.0,160870.0,209349.0,209613.0,240968.0,144819.0,20929.0,189886.0,236325.0,35788.0,185301.0,214118.0,256737.0,23804.0,5361.0,,,,,,43324.0,49703.0,,44600.0,,27979.0,41261.0,46905.0,48412.0,36974.0,55030.0,139159.0,69897.0,134850.0,164201.0,163785.0,,,,,0,133131.0,133131.0,83028.0,0.62,2,,,,,0,121072.0,121072.0,133276.0,1.1,2,169140.0,175268.0,18999.0,0.11,3,133498.0,160870.0,92621.0,0.69,3,198467.0,209613.0,49034.0,0.25,3,149047.0,189886.0,113357.0,0.76,3,145069.0,185301.0,95731.0,0.66,3,95301.0,23804.0,140112.0,1.47,3,,,,,0,43324.0,43324.0,,,1,47152.0,47152.0,3608.0,0.08,2,34620.0,34620.0,9392.0,0.27,2,44097.0,46905.0,6215.0,0.14,3,88029.0,69897.0,44900.0,0.51,3,154279.0,163785.0,16827.0,0.11,3,,,,,,,,,,,,,,,,1039.0,127102.0,,0.0,133131.0,,121072.0,175268.0,160870.0,209613.0,189886.0,185301.0,23804.0,,43324.0,47152.0,34620.0,46905.0,69897.0,163785.0,127102.0
1038.845@14.219993,,,1038.845,14.219992999999999,50,,,,90898.0,,192538.0,,,192603.0,,215972.0,28508.0,182400.0,174346.0,163228.0,30276.0,161824.0,210125.0,214928.0,241316.0,147239.0,20929.0,192259.0,214875.0,217056.0,182552.0,230385.0,260033.0,71297.0,,,,,27185.0,,43324.0,56609.0,,59733.0,,27979.0,41228.0,46851.0,48412.0,35945.0,55030.0,34854.0,194828.0,57724.0,164278.0,180493.0,,,,,0,141718.0,141718.0,71870.0,0.51,2,192603.0,192603.0,,,1,122240.0,122240.0,132557.0,1.08,2,173325.0,174346.0,9627.0,0.06,3,134075.0,161824.0,93080.0,0.69,3,201161.0,214928.0,48526.0,0.24,3,142688.0,192259.0,106051.0,0.74,3,209998.0,217056.0,24685.0,0.12,3,165665.0,165665.0,133457.0,0.81,2,,,,,0,35254.0,35254.0,11412.0,0.32,2,58171.0,58171.0,2209.0,0.04,2,34604.0,34604.0,9368.0,0.27,2,43736.0,46851.0,6792.0,0.16,3,94904.0,55030.0,87123.0,0.92,3,134165.0,164278.0,66694.0,0.5,3,,,,,,,,,,,,,,,,1039.0,161824.0,,0.0,141718.0,192603.0,122240.0,174346.0,161824.0,214928.0,192259.0,217056.0,165665.0,,35254.0,58171.0,34604.0,46851.0,55030.0,164278.0,161824.0
1042.0886@1.2140005,,,1042.0886,1.2140004999999998,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11757.0,15837.0,,12429.0,22082.0,,,,12702.0,13245.0,14845.0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,13797.0,13797.0,2885.0,0.21,2,17256.0,17256.0,6826.0,0.4,2,,,,,0,13597.0,13245.0,1114.0,0.08,3,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,1042.0,13797.0,,0.0,,,,,,,,,13797.0,17256.0,,13245.0,,,,,13797.0
1050.5465@7.6780014,,,1050.5465,7.678001400000001,51,,,,27902.0,24700.0,31376.0,36994.0,,38894.0,33145.0,24804.0,33133.0,14838.0,,,,31846.0,,23362.0,,30884.0,17883.0,31644.0,27599.0,14471.0,,14906.0,,38020.0,,,103092.0,,,,43907.0,,,,20347.0,33295.0,60102.0,57438.0,63733.0,56677.0,39916.0,27126.0,44292.0,13604.0,15460.0,,,,,,0,27993.0,27902.0,3339.0,0.12,3,37944.0,37944.0,1344.0,0.04,2,30361.0,33133.0,4812.0,0.16,3,14838.0,14838.0,,,1,31846.0,31846.0,,,1,27123.0,27123.0,5319.0,0.2,2,25709.0,27599.0,7073.0,0.28,3,14688.0,14688.0,308.0,0.02,2,38020.0,38020.0,,,1,103092.0,103092.0,,,1,43907.0,43907.0,,,1,,,,,0,37915.0,33295.0,20276.0,0.53,3,59283.0,57438.0,3873.0,0.07,3,37111.0,39916.0,8920.0,0.24,3,14532.0,14532.0,1312.0,0.09,2,,,,,,,,,,,,,,,,1051.0,33133.0,,0.0,27902.0,37944.0,33133.0,14838.0,31846.0,27123.0,27599.0,14688.0,38020.0,103092.0,43907.0,,33295.0,57438.0,39916.0,14532.0,33133.0
1050.979@1.1759995,,,1050.979,1.1759995,51,,,,,,,,,,,,,,,,,,,,,,,,,,,8826.0,52373.0,65193.0,82355.0,16048.0,68081.0,84489.0,36401.0,28093.0,27906.0,84504.0,57260.0,69631.0,37136.0,32493.0,28231.0,41556.0,46628.0,69117.0,19110.0,34890.0,28676.0,22839.0,35677.0,25288.0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,8826.0,8826.0,,,1,66640.0,65193.0,15043.0,0.23,3,56206.0,68081.0,35732.0,0.64,3,30800.0,28093.0,4852.0,0.16,3,70465.0,69631.0,13641.0,0.19,3,32620.0,32493.0,4454.0,0.14,3,52434.0,46628.0,14669.0,0.28,3,27559.0,28676.0,7949.0,0.29,3,27935.0,25288.0,6816.0,0.24,3,,,,,,,,,,,,,,,,1051.0,32493.0,,0.0,,,,,,,,8826.0,65193.0,68081.0,28093.0,69631.0,32493.0,46628.0,28676.0,25288.0,32493.0
1053.7202@11.027004,,,1053.7202,11.027004,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18502.0,18577.0,,,,,,,,21993.0,,,,,,45085.0,34120.0,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,18540.0,18540.0,53.0,0.0,2,,,,,0,,,,,0,21993.0,21993.0,,,1,,,,,0,39602.0,39602.0,7753.0,0.2,2,,,,,0,,,,,0,,,,,,,,,,,,,,,,1054.0,21993.0,,0.0,,,,,,,,,18540.0,,,21993.0,,39602.0,,,21993.0
